review/appearance,beer/style,review/palate,review/taste,beer/name,review/timeUnix,beer/ABV,beer/beerId,beer/brewerId,review/timeStruct,review/overall,review/text,user/profileName,review/aroma,user/gender,user/birthdayRaw,user/birthdayUnix,user/ageInSeconds
2.0,Low Alcohol Beer,2.0,2.0,Buckler,1316925201,,5636,81,"{'isdst': 0, 'mday': 25, 'hour': 4, 'min': 33, 'sec': 21, 'mon': 9, 'year': 2011, 'yday': 268, 'wday': 6}",2.0,"Served from a bottle into an Estrella Damm goblet in Ibiza, Spain. Reviewed from notes. 		A: Pours a two finger head of fair thickness, no cream, and poor pathetic retention. Colour is a clear gold. 		Sm: Very nutty, actually. Malt and barley are there, alongside a hint of lime. I also get a fermented pineapple note, a bit like tepache. Interesting and unexpected. 		T: Heavy pineapple is present in the body with a nut/malt climax and finish. Simple, but more bold than most alcohol free beers I've had. 		Mf: Far too light, but it's a bit coarser than expected. In any case, it doesn't really suit the beer. 		Dr: Obviously it's very drinkable as it's practically water, but it has no real alcohol content. I wouldn't have it again, but perhaps for the nondrinker it might be more worthwhile than Beck's or O'Doul's.",kojevergas,3.5,Male,"Nov 3, 1989",626083200.0,792252247.0
4.0,Low Alcohol Beer,3.0,2.0,Buckler,1313474193,,5636,81,"{'isdst': 0, 'mday': 16, 'hour': 5, 'min': 56, 'sec': 33, 'mon': 8, 'year': 2011, 'yday': 228, 'wday': 1}",2.5,"Good god this is foul. Pours pale straw. White head. Nose is coked vegetables over fresh, raw skunk funk from fresh skunk roadkill. Amazing that they are able to sell this product. Would rather nose my Hanes after a long jog, with the socks too. Cereal grain sweetness is in there on the palate. Sweet corn & grainy finish.",yemenmocha,1.0,Male,,,
1.0,Low Alcohol Beer,1.0,1.0,Buckler,1312814937,,5636,81,"{'isdst': 0, 'mday': 8, 'hour': 14, 'min': 48, 'sec': 57, 'mon': 8, 'year': 2011, 'yday': 220, 'wday': 0}",1.0,"Poured into a pint glass.		A - Poured clear pale yellow color with minimal head that quickly dissipated leaving almost no lacing in the glass.		S - Awful grain grassy smell. Very unpleasant and skunky.		T - Bitter, grassy with slightly metallic aftertaste. Tastes like a powder mixed with water.		M - Very light and over-carbonated.		O - Stay away from it as much as possible. Anything including water is better than this.",taigor,1.0,Male,,,
1.0,Low Alcohol Beer,1.0,1.0,Buckler,1305152302,,5636,81,"{'isdst': 0, 'mday': 11, 'hour': 22, 'min': 18, 'sec': 22, 'mon': 5, 'year': 2011, 'yday': 131, 'wday': 2}",1.0,"First had: bottle at Club Society, Evesham, NJ		You'd have to be drunk to enjoy this. And that doesn't make sense any way you read it.		Poured a straw yellow with a quickly receding white head. Slight essence of grains in the aroma and not much else. Taste of skunk and stale grain juice. Like water in the mouth, and not drinkable for any reason.",Rifugium,1.0,,,,
3.5,Low Alcohol Beer,3.0,2.0,Buckler,1303926696,,5636,81,"{'isdst': 0, 'mday': 27, 'hour': 17, 'min': 51, 'sec': 36, 'mon': 4, 'year': 2011, 'yday': 117, 'wday': 2}",2.5,"Presentation: Brown 25cl bottle poured into a pilsner glass.		A: Pours a pretty head with surprising retention. Clear golden color, little carbonation present.		S: Grain and an odd grassy tone which isn't too pleasant.		T/M: Taste mimics the smell, but with more sweetness. Very little hops would seem present. What I'm forced to call an unpleasant aftertaste. Fairly watery mouthfeel.		Notes: Overall, I wouldn't consider this a very good NA beer. I know a lot bash the style because it's not ""real"" beer, but I can enjoy NAs and understand their purpose: it just has to taste good, and this one really doesn't.",charleseddy,2.5,,,,
3.5,Low Alcohol Beer,2.0,3.0,Buckler,1294635662,,5636,81,"{'isdst': 0, 'mday': 10, 'hour': 5, 'min': 1, 'sec': 2, 'mon': 1, 'year': 2011, 'yday': 10, 'wday': 0}",2.5,"12 oz bottle poured into a pint glass		A: Straw yellow, very clear, lots of visible carbonation. About a fingers worth head that dissipates to a nice ring with descend lacing.		S: Very grainy sweetness, maybe a little corny and a hint of lemon grass.		T: A lot like the smell, grainy, corny, sweet with a little tartness. Aftertaste is a little on the flat side and salty.		M: Very thin and watered down.		D: Not too bad for a Non Alcoholic beer.... Reminds me of Heineken... just a little more watered down. 		My first Non Alcoholic beer... Tasted more like beer than I had expected.",mralphabet,2.0,Male,"Jul 24, 1969",-13885200.0,1432220647.0
3.0,Low Alcohol Beer,2.0,1.0,Buckler,1291092467,,5636,81,"{'isdst': 0, 'mday': 30, 'hour': 4, 'min': 47, 'sec': 47, 'mon': 11, 'year': 2010, 'yday': 334, 'wday': 1}",1.0,"I suppose this was deserved...thanks for sharing, Chris.		A: The pour is a very pale straw color with a finger's worth of white head.		S: This is what it would smell like if you were sprayed by a whole population of skunks. Just for a bit of ""balance"", we've got some resin and bong water. Maybe a bit of sweetness.		T: Amazingly bitter, and not in a good way. Lots of skunk, as you would expect after just opening the bottle. A bit of an apple juice sweetness underneath. Some coffee grounds too.		M: The body is light and thin and the carbonation is medium to high.		D: This was horrendous. I wish I could give this beer a zero on the aroma. Wow...do not buy this.",womencantsail,1.0,,,,
1.0,Low Alcohol Beer,1.0,1.0,Buckler,1290980107,,5636,81,"{'isdst': 0, 'mday': 28, 'hour': 21, 'min': 35, 'sec': 7, 'mon': 11, 'year': 2010, 'yday': 332, 'wday': 6}",1.0,"Chilled bottle into a glass. Shared by largadeer. Thanks, Chris.		I don't know if I see the point of non-alcoholic beers in general. If I'm not drinking, I'm not drinking; I don't need something that passes as some imitation of what I'm not having. Maybe I'm alone, but I just don't see the point and I don't recognize this as a valid 'style' of beer. 		Clear, light straw body. Even from a few feet away I could smell how badly skunked this was. Did they preskunk it before bottling it? I just don't see how it went that bad. Anyway, it's sulfurous / minerally, skunky, terrible. 		I don't have much to say. Skip it. Drink iced tea or something else if you really want non-alcoholic beverage. I just don't see the point of stuff like this.",Arbitrator,1.0,,,,
2.0,Low Alcohol Beer,1.5,1.5,Buckler,1290916807,,5636,81,"{'isdst': 0, 'mday': 28, 'hour': 4, 'min': 0, 'sec': 7, 'mon': 11, 'year': 2010, 'yday': 332, 'wday': 6}",1.5,"12 oz bottle into a tulip. Clear watery yellow with a rapidly fading head. Smells like roadkill, sulfur, metal, minerals, husky grain. Sweet on the palate, extremely thin and somewhat metallic. Signature Heineken skunk. Grainy, watery finish with a little astringency. This is pretty much awful.",largadeer,1.0,Male,,,
2.0,Low Alcohol Beer,1.5,2.5,Buckler,1288290216,,5636,81,"{'isdst': 0, 'mday': 28, 'hour': 18, 'min': 23, 'sec': 36, 'mon': 10, 'year': 2010, 'yday': 301, 'wday': 3}",1.5,"Pours a sickly looking pale straw color (a little hazed) with a thick soapy white head and a little lacing. Smells of carbonated water with some grain and a little corn in the background. Mouthfeel is a little thin but they are usually thin for this style. Drinkability is low, because the beer just isn't that good.",TheKingofWichita,2.5,,,,
3.0,Low Alcohol Beer,3.0,3.0,Buckler,1287712773,,5636,81,"{'isdst': 0, 'mday': 22, 'hour': 1, 'min': 59, 'sec': 33, 'mon': 10, 'year': 2010, 'yday': 295, 'wday': 4}",3.0,"12 oz. bottle, like the label,		A: Pours a sparkling clear golden with a soft white head, average retention, no lace.		S: Mild, notes of carbonic acid and husky grain, that's about it.		T: Bittersweet grainy malt flavour, with a nice little hop balance. Solid flavour.		M: Medium-bodied for the style. Spritzy, crisp but light carbonation character.		D: Nice near beer. No real off flavours and it really feels like you're drinking something.",Halcyondays,2.0,,,,
4.0,Low Alcohol Beer,1.5,3.0,Buckler,1282363749,,5636,81,"{'isdst': 0, 'mday': 21, 'hour': 4, 'min': 9, 'sec': 9, 'mon': 8, 'year': 2010, 'yday': 233, 'wday': 5}",3.5,"Pours a truly golden yellow with a big, boisterous, foamy head. While the head does settle down into a toad's-eye cap, there is still very good lacing down the sides; an attractive proposition.		Smell is quite pleasing, a little clean corn, a bit of hops, and reasonably (frankly, surprisingly) focused. Not prone to the flabby, vegetal elements that plague the nose of most N/A beers.		Taste is of Carapils malt, a little bit of tinned carrot, a flinty nod from the hops. All in all, not bad, and the lack of ABV is hidden quite well. This is a difficult style to do well, and they've done an admirable job here.		Mouthfeel is the one major flaw with this product. For whatever reason, on the swallow, as the mild hop flavor passes over the palate, there is a very unpleasant, if not downright prickly sensation that attacks the tongue. Harsh, unusual, and uncalled for. A fatal flaw in an otherwise very enjoyable N/A beer.		Drinkability is fine; you wouldn't want to have too many of these, but you could have a few in a night. Will it be memorable? Nah. But it'll pass the time.		All in all, on the higher scoring end of the N/A beers out there, and by far more focused in flavor. I can't think of another brew that hides its lack of alcohol content so well, that tastes as much like...well, generic European Pale Lager beer. I just wish the mouthfeel wasn't so heinous. Give it a try.",ithacabaron,3.5,,,,
4.0,Low Alcohol Beer,3.0,3.5,Buckler,1270045503,,5636,81,"{'isdst': 0, 'mday': 31, 'hour': 14, 'min': 25, 'sec': 3, 'mon': 3, 'year': 2010, 'yday': 90, 'wday': 2}",3.5,"Appearance: 1/4 inch head, clear, gold in color, moderate carbonation. 		Smell: wheat, grass, almost at the start of skunking		Taste: honey, toasted malt, grain and sugar		Mouthfeel: high carbonation, light bodied, sweet with a sugary ending		Drinkability: If I wanted a beer in this style, I could have several of these. It tastes like beer with a sweeter ending. It tastes like an above average lager. Good for the style.",tigg924,2.5,Male,"Sep 24, 1976",212396400.0,1205939047.0
3.0,Low Alcohol Beer,3.0,3.0,Buckler,1269477618,,5636,81,"{'isdst': 0, 'mday': 25, 'hour': 0, 'min': 40, 'sec': 18, 'mon': 3, 'year': 2010, 'yday': 84, 'wday': 3}",4.0,"There are some occasions when you need a beer but can't have the alcohol. This is the beer for those times! I have tried many (if not all of the ) non-alcoholic beers that ranged from awful to putrid. Buckler is different. It tastes like BEER!		It pours a light gold with really not much in the way of aroma. Light and malty on the palate. One can actually get the hint of some hop flavor in there. It does taste like a weaker version of Heineken. Very drinkable.		This is obviously not my first choice when I reach for a beer, but for those times when I can't have alcohol, this is a worthy substitute. Best non-alcoholic beer I've had.",liddytime,2.5,Male,,,
2.0,Low Alcohol Beer,1.5,1.5,Buckler,1267574040,,5636,81,"{'isdst': 0, 'mday': 2, 'hour': 23, 'min': 54, 'sec': 0, 'mon': 3, 'year': 2010, 'yday': 61, 'wday': 1}",1.0,"I dunno why anyone even bothers with these. Looks like an even weaker Henie, very very light yellow/straw. Smells awful. Wet hay and mold. 		Taste, like a BMC with better hops, slightly. Leaves nothing to grasp onto, you don't savor anything mouthfeel wise, you just want to hurry up and get over it. It would be better to just relapse if you were an alcoholic and drink a better real beer than suffer through this. Even worse, its pricey.",Beerandraiderfan,1.0,,,,
3.5,Low Alcohol Beer,3.0,2.5,Buckler,1267571851,,5636,81,"{'isdst': 0, 'mday': 2, 'hour': 23, 'min': 17, 'sec': 31, 'mon': 3, 'year': 2010, 'yday': 61, 'wday': 1}",4.0,"A- Pours a pale golden yellow color with a fizzy white head with decent retention.		S- The aroma is light grain and malt that is slightly grassy with a hint of hay. Maybe just a touch of hops as well. 		T- The taste is sweet grain up front with a touch of grassy hops. Not overly flavorful, but not overly offensive either. It can be a little sweet at times, could use some more hops to help balance out the sweetness.		M- The mouthfeel is light bodied with a high amount of carbonation.		D- Overall, this beer does the job it is intending to do. A very light bodied beer with very little alcohol. Worth a try.",cjgator3,3.0,Male,,,
3.5,Low Alcohol Beer,2.5,3.5,Buckler,1252488341,,5636,81,"{'isdst': 0, 'mday': 9, 'hour': 9, 'min': 25, 'sec': 41, 'mon': 9, 'year': 2009, 'yday': 252, 'wday': 2}",3.0,"A very light beer in more than just taste, it was yellow in color and unnaturally clear with no head. It was litely carbonated, with aroma of grain, malt and hops. As for the taste there were slight malt and hops present. This is a super light NA beer with not much to it.",jnfs,3.0,,,,
3.5,Low Alcohol Beer,3.5,3.0,Buckler,1252350041,,5636,81,"{'isdst': 0, 'mday': 7, 'hour': 19, 'min': 0, 'sec': 41, 'mon': 9, 'year': 2009, 'yday': 250, 'wday': 0}",3.0,"Nose has Nobel hops with some skunk, softly fruity, mildly malty, toasty dry. Smells okay / not bad.		Pours clear pale gold with mild head and lace. Looks pretty good.		Tastes okay. Malt and hop follows nose. Nice hop bitterness and dryness. Noble herbal/spicy/floral. Bitterness grows along with soft sourness. Finishes dry and bitter. Tastes okay. Feels pretty good. Fair drinkability.		Not so bad, it has merits, but not many.",MrHungryMonkey,3.0,,,,
3.5,Low Alcohol Beer,3.5,3.0,Buckler,1249315878,,5636,81,"{'isdst': 0, 'mday': 3, 'hour': 16, 'min': 11, 'sec': 18, 'mon': 8, 'year': 2009, 'yday': 215, 'wday': 0}",3.5,"Out of a bottle this 'beer' was a crystal clear, light golden color with a ton of rising carbonation. The one finger head of white foam retained pretty well like a down comforter. The aroma was surprisingly beer-like, albeit macro beer, slightly stale and skunky with generic grains and a good malt/hop balance. The flavors were clean and crisp, though obviously stripped of the alcoholic gumption one hopes from a drink. Still, for a NA beer it was dry and smooth with only a hint of sweetness and cereal grains. The mouthfeel was fair enough, the body light/medium and the carbonation good. Would I order another one? Not unless I had to do NA. But if I DID, I would. For the style? Bravo.",thekevlarkid,3.0,Male,,,
3.0,Low Alcohol Beer,3.0,3.0,Buckler,1242451442,,5636,81,"{'isdst': 0, 'mday': 16, 'hour': 5, 'min': 24, 'sec': 2, 'mon': 5, 'year': 2009, 'yday': 136, 'wday': 5}",3.5,"12oz brown glass pry-top bottle. Proprietary dating system.		Quick review: Tastes like a slightly lighter version of Heineken. Off-dry Euro-lager style with that destictive ""skunky"" aroma and flavor. Crisp and mostly dry on the finish. Like Pilsner Urquell meets Heineken.		For an NA beer in that style, not bad. It didn't have that slick, almost sweet character that most de-alcoholized beers have. I'd rather drink this than Labatt NA, Gennesse NA, Coors NA, or Kaliber if I have to drink an NA beer.",SFLpunk,3.0,,,,
3.0,Low Alcohol Beer,3.0,3.5,Buckler,1242264029,,5636,81,"{'isdst': 0, 'mday': 14, 'hour': 1, 'min': 20, 'sec': 29, 'mon': 5, 'year': 2009, 'yday': 134, 'wday': 3}",4.0,"Poured from a 12oz bottle into a mug.		Appearance/Smell - Appears an ultra clear yellow color with high, effervescent like carbonation. Produces a soapy head that dissipates fairly quickly, leaves no lacing either. Smells of earthy grassy notes, nutty, lite grains, powerful and at times can be a little off putting. Intense earthy, grassy notes, that's about all that's going on here.		Taste/Mouthfeel - Tastes almost the same as the way it smells, lite corn & grain, and intense earthy, nutty, grassy flavors. Although some sweet malt flavors manage to pull through a bit, balancing the potent earthy notes. Mouthfeel is very bitey & seltzer like, pretty thin and watery as well, and has a very lite body.		Drinkability/Final thoughts - This beer was largely grassy and earthy, but manages to balance out with some nice sweet malty flavor. Ive only tried a few of these low alcohol brews, but this one seems to be the best one that Ive had. I liked it's low key flavors, and awesome drinkability. All in all it's decent, and won't leave you with a hangover, you could drink as many as you want. Cheers!",PintOHops,2.5,,,,
3.5,Low Alcohol Beer,4.5,3.0,Buckler,1241736099,,5636,81,"{'isdst': 0, 'mday': 7, 'hour': 22, 'min': 41, 'sec': 39, 'mon': 5, 'year': 2009, 'yday': 127, 'wday': 3}",3.5,"Bottle assured fresh, provided by my uncle on Easter. 		Poured into my DFH off-center pint glass.		Two inches of stiff peaks over a body the color & clarity of ginger ale. Archipelago-like lace.		Smell is like a well used Brillo pad, pungent guinea pig alfalfa feed, & sticky spilled beer residue.		Taste is mainly husky grain & crackers, with some mild Euro-familiar carmelization, & a twinge of bottlecap on the finish. Maybe slightly salty at the end too.		Body drinks like carbonated mineral water. Carbonation is sturdy but soft.		Drinks a lot like Heineken Light out of a mini keg. I could see myself in a crowded place, dipping my arm in the ice bucket & drinking a couple of these before I realized what it was.",PEBKAC,1.5,,,,
3.0,Low Alcohol Beer,3.0,4.0,Buckler,1240284962,,5636,81,"{'isdst': 0, 'mday': 21, 'hour': 3, 'min': 36, 'sec': 2, 'mon': 4, 'year': 2009, 'yday': 111, 'wday': 1}",3.0,"Buckler beer is a wonderful non-alcoholic alternative for pale lager beer drinkers. For non-beer experts, a pale lager is a type of beer that was originated in Europe. Its taste has a mild bitter essence with a slight sweet malt aftertaste. Buckler was introduced in 1988 by the makers of Heineken. 		What drew me to Buckler was the label's close resemblance to Heineken's and the decal designs on the bottle reminded me of German ales. The non-alcoholic label is embedded into the Buckler symbol. Buckler's overall appearance is very appealing to a person who either does not want to be depicted as a non-alcoholic drinker or likes imported beers. 		Buckler's taste defiantly mirrors its Heineken counterpart. It's slightly bitter with a sweet malt aftertaste, which means Buckler is a true non-alcoholic pale lager. The downside of the taste is it does mimic most non-alcoholic beer with a flat watery taste. But, the beer pours a nice golden brown color smoothly into a mug. Also, an inch of initial head is present but quickly disappears like a normal pale lager.		Although Buckler isn't the strongest tasting non-alcoholic beer I've encountered, but if you're a pale lager or Heineken fan, I would strongly recommend Buckler for you. It is a great substitute for an alcoholic pale lager!",feroc34,3.5,,,,
3.0,Low Alcohol Beer,1.0,2.0,Buckler,1237601952,,5636,81,"{'isdst': 0, 'mday': 21, 'hour': 2, 'min': 19, 'sec': 12, 'mon': 3, 'year': 2009, 'yday': 80, 'wday': 5}",1.0,"Pours a straw yellow/gold color with a very thin one-finger head into my pint glass.		Aroma is full of corn/grain upfront that seems to be quite overpowering. 		Taste is thin and full of grainy adjunct with a load of bitterness (probably not hop-related) that hits the palate. Harsh.		Pretty damn rough on the palate. Very harsh and has the consistency of ginger ale. Doesn't seem to go down too well either. 		Well, it is a non-alcoholic beer. Just thought that I'd try out this style and so far, not impressed.",Brad007,3.0,,,,
3.0,Low Alcohol Beer,2.5,2.5,Buckler,1219781915,,5636,81,"{'isdst': 0, 'mday': 26, 'hour': 20, 'min': 18, 'sec': 35, 'mon': 8, 'year': 2008, 'yday': 239, 'wday': 1}",3.0,"Pours a lighter yellow, with a crisp white head that pours thick but recedes quickly. Moderate carbonation. 		I didn't know this was made by Heineken until after I drank it. Smells very similar to a Heineken. Malty, euro lager smell that is sharp but not quite as sharp as a pilsner. 		Tastes like a dull Grolsch. Very similar to a pils, just lighter. Like a Heineken, which is not a good thing.",HopsAreOverrated,3.0,,,,
2.0,Low Alcohol Beer,2.0,3.0,Buckler,1209599144,,5636,81,"{'isdst': 0, 'mday': 30, 'hour': 23, 'min': 45, 'sec': 44, 'mon': 4, 'year': 2008, 'yday': 121, 'wday': 2}",2.0,"I'm not a non-alcoholic beer fan, but am trying to be diverse in the styles I drink...		Opened 12 fluid ounce bottle, poured into nonic glass.		Pours a thick head of 2"" above a crystal clear light yellow brew. Thick lacing (more like head) sticks to sides of glass.		Smell is very malt/corn driven with very weak hop notes. Taste is somewhat week, with very light notes of herb. Nothing spectacular, but still somewhat drinkable. (I'd really rather have water). Mouth feel is quite bubbly, leaves a strange aftertaste.		I can't believe I dirtied a glass for this.",mattster,2.0,Male,"Aug 22, 1972",83314800.0,1335020648.0
2.5,Low Alcohol Beer,2.5,2.5,Buckler,1196665802,,5636,81,"{'isdst': 0, 'mday': 3, 'hour': 7, 'min': 10, 'sec': 2, 'mon': 12, 'year': 2007, 'yday': 337, 'wday': 0}",3.0,"A - Golden yellow....a stronger shade than other N/A lagers, and most other macro lager for that matter. An of-white head sticks around for a minute or two, and very little lace is left on the glass.		S - Crackery pils malt. Sweet molasses, flowery hops, and some herbal tea notes too. Not bad for the style!		T - Acidic, bitter, and acrid. This is very much like Heineken, which I happen to dislike, but at least this has some assertive ""real beer"" flavors going for it. It's much more hoppy and flavorful than any other N/A beer that I've tried.		M - Extremely carbonated, crisp, clean, and thirst quenching. This would cut through a lot of kinds of food very nicely.		D - IF you have to go the N/A route, this is the way to go. I don't really like it all that much, but I think some people might, and I appreciate it's assertiveness.",pmcadamis,3.0,Male,,,
2.0,Low Alcohol Beer,2.5,3.0,Buckler,1181243418,,5636,81,"{'isdst': 0, 'mday': 7, 'hour': 19, 'min': 10, 'sec': 18, 'mon': 6, 'year': 2007, 'yday': 158, 'wday': 3}",1.5,"12oz amber Bottle from land of the windmills , Holland		I serve it in a pint glass, light yellow color with a very white head that leaves inmediatly,smells like veggies, like corn. That smells isn't far from the taste , it tastes like corn and the taste can be in your mouth for a long taste, lot of carbonation too.		It doe'nst feel bad in mouth but good neither i have too i did'nt want the third .",BeerDreadz,2.0,,,,
