review/overall,user/gender,beer/style,user/ageInSeconds,beer/beerId,beer/ABV,beer/name
4.5,Male,American Pale Ale (APA),1037455447.0,25414,5.5,Caldera Pale Ale
5.0,Male,American Pale Ale (APA),1202828647.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),1050246247.0,25414,5.5,Caldera Pale Ale
4.0,Male,American Pale Ale (APA),1195653847.0,25414,5.5,Caldera Pale Ale
4.5,Male,American Porter,843833048.0,10788,5.8,Pilot Rock Porter
4.0,Male,Belgian Strong Dark Ale,861375847.0,58920,8.1,Vas Deferens Ale
3.0,Male,Belgian Strong Dark Ale,1137506648.0,58920,8.1,Vas Deferens Ale
4.0,Male,Belgian Strong Dark Ale,1018364647.0,58920,8.1,Vas Deferens Ale
4.0,Male,Russian Imperial Stout,941033048.0,20818,8.8,Old Growth Imperial Stout
4.5,Male,Russian Imperial Stout,1293372247.0,20818,8.8,Old Growth Imperial Stout
4.5,Male,Russian Imperial Stout,1023548647.0,20818,8.8,Old Growth Imperial Stout
4.0,Male,Russian Imperial Stout,812988247.0,20818,8.8,Old Growth Imperial Stout
4.5,Male,Russian Imperial Stout,1137506648.0,20818,8.8,Old Growth Imperial Stout
5.0,Male,Russian Imperial Stout,963068647.0,20818,8.8,Old Growth Imperial Stout
4.0,Male,American Amber / Red Ale,1189001047.0,10786,5.7,Dry Hop Red
4.5,Male,American Amber / Red Ale,1137506648.0,10786,5.7,Dry Hop Red
4.0,Male,American Amber / Red Ale,3594722648.0,10786,5.7,Dry Hop Red
4.0,Male,American Amber / Red Ale,1143039848.0,10786,5.7,Dry Hop Red
3.0,Male,American Adjunct Lager,1195653847.0,20817,3.9,Lawnmower Lager
4.5,Male,American Adjunct Lager,1018364647.0,20817,3.9,Lawnmower Lager
1.5,Male,American Blonde Ale,1036591447.0,61427,6.7,Caldera Rose Petal (Kettle Series)
3.5,Male,American IPA,977580247.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1017327847.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,875282648.0,10784,6.1,Caldera IPA
5.0,Male,American IPA,1107525848.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1051628647.0,10784,6.1,Caldera IPA
4.0,Female,American IPA,867942247.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,927212647.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,819122647.0,10784,6.1,Caldera IPA
5.0,Male,American IPA,1215529447.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,860425447.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1199541847.0,10784,6.1,Caldera IPA
4.5,Female,American IPA,1016723047.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1077894247.0,10784,6.1,Caldera IPA
5.0,Male,American IPA,920819047.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1019228647.0,10784,6.1,Caldera IPA
3.0,Male,American IPA,1678716248.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1863698647.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,928595047.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1018364647.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,890751847.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1480255447.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,905695447.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1314021847.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,916236248.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1517234647.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1155222248.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1244300647.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,913730648.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1187363047.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1234447447.0,10784,6.1,Caldera IPA
3.0,Male,American IPA,1086707047.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1351346647.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,991753447.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,895503847.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,921855848.0,10784,6.1,Caldera IPA
4.0,Female,American IPA,1083164647.0,10784,6.1,Caldera IPA
5.0,Male,American IPA,1571321047.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,999439447.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,896886247.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1374591847.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,994604647.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1204383847.0,10784,6.1,Caldera IPA
2.5,Male,American IPA,1036073047.0,10784,6.1,Caldera IPA
3.5,Male,American IPA,1150815847.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1195653847.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1037455447.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1785855847.0,10784,6.1,Caldera IPA
3.5,Male,American IPA,1175871847.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1170770647.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,941033048.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1430147048.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,988470247.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,973519447.0,10784,6.1,Caldera IPA
3.0,Male,American IPA,1314713047.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,907682647.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1700748247.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1021129447.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,953132647.0,10784,6.1,Caldera IPA
5.0,Male,American IPA,966780247.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1349186647.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1376319847.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1049382247.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1813935847.0,10784,6.1,Caldera IPA
3.5,Male,American IPA,1137506648.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1131890647.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1189001047.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1331651047.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1215788647.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1048172647.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1062857047.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,905090647.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1293372247.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1596121447.0,10784,6.1,Caldera IPA
3.0,Male,American IPA,1437491047.0,10784,6.1,Caldera IPA
3.0,Male,American IPA,1412345047.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1049814247.0,10784,6.1,Caldera IPA
3.5,Male,American IPA,1288883048.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,934898647.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,842882648.0,10784,6.1,Caldera IPA
4.5,Male,American IPA,1076335447.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1100873047.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,802105447.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,1210950247.0,10784,6.1,Caldera IPA
4.0,Male,American IPA,986569447.0,10784,6.1,Caldera IPA
2.5,Male,Fruit / Vegetable Beer,1126879447.0,60951,4.7,Hibiscus Ginger Beer
3.5,Male,Fruit / Vegetable Beer,1137506648.0,37917,5.0,Exotic Erotic Passion Fruit Ale
4.0,Male,American IPA,986569447.0,56071,6.8,Hopportunity Knocks
4.0,Male,American IPA,1863698647.0,56071,6.8,Hopportunity Knocks
2.0,Male,American IPA,1303398247.0,56071,6.8,Hopportunity Knocks
4.0,Male,American IPA,1199541847.0,56071,6.8,Hopportunity Knocks
3.5,Male,American IPA,1018364647.0,56071,6.8,Hopportunity Knocks
3.5,Male,American IPA,1137506648.0,56071,6.8,Hopportunity Knocks
3.0,Male,American IPA,1072015447.0,56071,6.8,Hopportunity Knocks
4.0,Male,American IPA,1331651047.0,56071,6.8,Hopportunity Knocks
5.0,Male,American Strong Ale,1143039848.0,10793,7.6,Cauldron Brew
4.0,Male,American Amber / Red Ale,958748647.0,10785,5.4,Ashland Amber
4.0,Male,American Amber / Red Ale,2029935847.0,10785,5.4,Ashland Amber
4.0,Male,American Amber / Red Ale,941033048.0,10785,5.4,Ashland Amber
4.5,Male,American Amber / Red Ale,1126879447.0,10785,5.4,Ashland Amber
3.5,Male,American Amber / Red Ale,842882648.0,10785,5.4,Ashland Amber
3.5,Male,American Amber / Red Ale,1125669847.0,10785,5.4,Ashland Amber
3.5,Male,American Amber / Red Ale,1217343847.0,10785,5.4,Ashland Amber
4.5,Male,American Amber / Red Ale,875282648.0,10785,5.4,Ashland Amber
3.5,Female,American Amber / Red Ale,867942247.0,10785,5.4,Ashland Amber
4.5,Male,American Amber / Red Ale,1579701848.0,10785,5.4,Ashland Amber
3.0,Male,American Amber / Red Ale,1319292247.0,10785,5.4,Ashland Amber
4.0,Male,American Amber / Red Ale,1678716248.0,10785,5.4,Ashland Amber
4.5,Male,American Amber / Red Ale,1187363047.0,10785,5.4,Ashland Amber
4.0,Male,American Amber / Red Ale,948636247.0,10785,5.4,Ashland Amber
4.0,Male,American Amber / Red Ale,890751847.0,10785,5.4,Ashland Amber
3.5,Male,American Amber / Red Ale,1751123047.0,10785,5.4,Ashland Amber
4.0,Male,American Amber / Red Ale,836579047.0,10785,5.4,Ashland Amber
4.0,Male,American Amber / Red Ale,1086707047.0,10785,5.4,Ashland Amber
4.0,Male,American Amber / Red Ale,1351346647.0,10785,5.4,Ashland Amber
4.0,Male,American Amber / Red Ale,1036073047.0,10785,5.4,Ashland Amber
4.0,Male,American Amber / Red Ale,1571321047.0,10785,5.4,Ashland Amber
4.0,Male,American Amber / Red Ale,1195653847.0,10785,5.4,Ashland Amber
3.0,Female,American Amber / Red Ale,1083164647.0,10785,5.4,Ashland Amber
4.5,Male,American Pale Ale (APA),1126879447.0,72330,7.0,Hop Hash
4.5,Male,American Porter,1170770647.0,60990,8.5,Mogli
4.0,Male,American Double / Imperial Stout,939650647.0,39606,10.0,Leviathan Imperial Stout
3.0,Male,American Double / Imperial Stout,1665842647.0,39606,10.0,Leviathan Imperial Stout
3.0,Male,Doppelbock,1782054247.0,12835,8.0,Deviator Doppelbock
3.5,Male,German Pilsener,1426431848.0,49803,4.8,Kirner Pils Premium
3.0,Male,Dortmunder / Export Lager,1130508247.0,1415,7.0,Amstel Gold
4.5,Male,Light Lager,812383447.0,436,3.5,Amstel Light
2.0,Male,Light Lager,824569447.0,436,3.5,Amstel Light
3.0,Male,Light Lager,862412647.0,436,3.5,Amstel Light
3.5,Male,Light Lager,1571321047.0,436,3.5,Amstel Light
3.5,Male,Light Lager,1412345047.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1231682647.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1088694247.0,436,3.5,Amstel Light
3.0,Male,Light Lager,928767848.0,436,3.5,Amstel Light
3.5,Male,Light Lager,919695847.0,436,3.5,Amstel Light
4.0,Male,Light Lager,1205939047.0,436,3.5,Amstel Light
2.5,Male,Light Lager,992703847.0,436,3.5,Amstel Light
4.0,Male,Light Lager,1100700247.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1507212247.0,436,3.5,Amstel Light
1.5,Male,Light Lager,929891048.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1221487447.0,436,3.5,Amstel Light
2.0,Male,Light Lager,1209740647.0,436,3.5,Amstel Light
2.0,Male,Light Lager,856623848.0,436,3.5,Amstel Light
2.0,Male,Light Lager,912521047.0,436,3.5,Amstel Light
2.0,Male,Light Lager,1387116247.0,436,3.5,Amstel Light
4.0,Male,Light Lager,1017500647.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1000476247.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1108825447.0,436,3.5,Amstel Light
1.5,Male,Light Lager,1244300647.0,436,3.5,Amstel Light
2.0,Male,Light Lager,1230905047.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1089731047.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1048172647.0,436,3.5,Amstel Light
5.0,Male,Light Lager,923151847.0,436,3.5,Amstel Light
2.5,Male,Light Lager,958489447.0,436,3.5,Amstel Light
2.0,Male,Light Lager,1634047447.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1058540647.0,436,3.5,Amstel Light
1.5,Male,Light Lager,905004248.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1223474647.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1267369447.0,436,3.5,Amstel Light
4.0,Male,Light Lager,1368889447.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1016204647.0,436,3.5,Amstel Light
3.5,Male,Light Lager,1878303847.0,436,3.5,Amstel Light
4.0,Male,Light Lager,1418565847.0,436,3.5,Amstel Light
2.5,Male,Light Lager,905004247.0,436,3.5,Amstel Light
2.0,Male,Light Lager,1474639447.0,436,3.5,Amstel Light
2.0,Male,Light Lager,1055775847.0,436,3.5,Amstel Light
1.5,Male,Light Lager,999439447.0,436,3.5,Amstel Light
1.0,Male,Light Lager,1499007847.0,436,3.5,Amstel Light
2.0,Male,Light Lager,1351346647.0,436,3.5,Amstel Light
3.0,Male,Light Lager,998489047.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1301756647.0,436,3.5,Amstel Light
2.5,Male,Light Lager,958316647.0,436,3.5,Amstel Light
3.5,Male,Light Lager,1003413847.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1098108247.0,436,3.5,Amstel Light
3.5,Male,Light Lager,1217257447.0,436,3.5,Amstel Light
4.5,Male,Light Lager,1010671447.0,436,3.5,Amstel Light
3.5,Male,Light Lager,1233410647.0,436,3.5,Amstel Light
1.0,Male,Light Lager,1096639447.0,436,3.5,Amstel Light
4.5,Male,Light Lager,1933945447.0,436,3.5,Amstel Light
4.5,Male,Light Lager,1202915047.0,436,3.5,Amstel Light
2.5,Male,Light Lager,2234185447.0,436,3.5,Amstel Light
4.0,Male,Light Lager,1281711847.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1427641447.0,436,3.5,Amstel Light
3.5,Male,Light Lager,1297346648.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1217343847.0,436,3.5,Amstel Light
2.0,Male,Light Lager,1168869847.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1616339048.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1539353047.0,436,3.5,Amstel Light
1.5,Male,Light Lager,1038060247.0,436,3.5,Amstel Light
1.5,Male,Light Lager,980172248.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1223129047.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1034690647.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1274540647.0,436,3.5,Amstel Light
1.5,Male,Light Lager,1159797847.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1232546647.0,436,3.5,Amstel Light
3.0,Male,Light Lager,983718247.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1188309847.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1782054247.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1102601048.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1394636647.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1579701848.0,436,3.5,Amstel Light
3.0,Male,Light Lager,983718247.0,436,3.5,Amstel Light
1.5,Male,Light Lager,1412777047.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1318860247.0,436,3.5,Amstel Light
3.5,Male,Light Lager,1166105047.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1232028247.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1563462247.0,436,3.5,Amstel Light
2.0,Male,Light Lager,802105447.0,436,3.5,Amstel Light
2.0,Male,Light Lager,877615448.0,436,3.5,Amstel Light
1.5,Male,Light Lager,1018278247.0,436,3.5,Amstel Light
3.0,Male,Light Lager,991753447.0,436,3.5,Amstel Light
2.5,Male,Light Lager,1099231447.0,436,3.5,Amstel Light
1.0,Male,Light Lager,1893420247.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1114614247.0,436,3.5,Amstel Light
1.0,Male,Light Lager,1080572647.0,436,3.5,Amstel Light
2.0,Male,Light Lager,1086534248.0,436,3.5,Amstel Light
4.5,Male,Light Lager,1038146647.0,436,3.5,Amstel Light
1.5,Male,Light Lager,1371999847.0,436,3.5,Amstel Light
3.0,Male,Light Lager,1191765847.0,436,3.5,Amstel Light
3.5,Male,Euro Pale Lager,1231682647.0,3386,5.0,Amstel Bright
4.5,Male,Euro Pale Lager,1277996647.0,3386,5.0,Amstel Bright
4.0,Male,Euro Pale Lager,1175612647.0,3386,5.0,Amstel Bright
2.5,Male,Euro Pale Lager,1072361048.0,33584,4.7,Amstel (Pure Filtered)
2.0,Male,Euro Pale Lager,703436648.0,33584,4.7,Amstel (Pure Filtered)
3.0,Male,Euro Pale Lager,905004248.0,1414,5.0,Amstel Lager
2.0,Male,Euro Pale Lager,792252247.0,1414,5.0,Amstel Lager
2.5,Male,Euro Pale Lager,1072361048.0,1414,5.0,Amstel Lager
2.0,Male,Euro Pale Lager,1346681047.0,1414,5.0,Amstel Lager
2.5,Male,Euro Pale Lager,1908457447.0,1414,5.0,Amstel Lager
3.0,Male,Euro Pale Lager,1298473447.0,1414,5.0,Amstel Lager
3.5,Male,Euro Pale Lager,820245847.0,1414,5.0,Amstel Lager
3.5,Male,Euro Pale Lager,929891048.0,1414,5.0,Amstel Lager
4.0,Male,Euro Pale Lager,1307459047.0,1414,5.0,Amstel Lager
4.0,Male,Euro Pale Lager,1089731047.0,1414,5.0,Amstel Lager
3.0,Male,Euro Pale Lager,917186648.0,1414,5.0,Amstel Lager
1.0,Male,Euro Pale Lager,1331823847.0,1414,5.0,Amstel Lager
3.5,Male,Bock,1713884647.0,1418,7.0,Amstel Bock
3.5,Male,Bock,1137506648.0,1418,7.0,Amstel Bock
4.5,Male,Bock,1119711847.0,1418,7.0,Amstel Bock
3.5,Male,Bock,1427641447.0,1418,7.0,Amstel Bock
4.0,Male,Altbier,1100786647.0,23328,4.4,Red Alt Ale
2.5,Male,Herbed / Spiced Beer,1215788647.0,27666,7.5,Holiday Ale
4.0,Male,American IPA,1215788647.0,27664,5.5,Newark IPA
3.0,Male,Euro Pale Lager,1080572647.0,52445,5.5,Nobu Special Reserve
2.0,Male,Euro Pale Lager,1307459047.0,36470,3.5,"Harboe Silver Beer 3,5%"
2.0,Male,Low Alcohol Beer,1307459047.0,22808,2.2,Harboe Den Glada Danskens LÃ¤ttÃ¶l
3.0,Male,Euro Pale Lager,1011535447.0,3825,4.9,Harboe BjÃ¸rnebryg (Bear Beer)
3.0,Male,Euro Pale Lager,1432220647.0,3825,4.9,Harboe BjÃ¸rnebryg (Bear Beer)
3.0,Male,Euro Pale Lager,1908457447.0,3825,4.9,Harboe BjÃ¸rnebryg (Bear Beer)
2.0,Male,Euro Pale Lager,1016291047.0,3825,4.9,Harboe BjÃ¸rnebryg (Bear Beer)
3.0,Male,Euro Pale Lager,1782054247.0,3825,4.9,Harboe BjÃ¸rnebryg (Bear Beer)
1.5,Male,Euro Pale Lager,1307459047.0,36580,2.8,"Harboe Pilsner 2,8%"
4.0,Male,Euro Strong Lager,895849448.0,22604,7.7,Harboe BjÃ¸rnebryg Extra Stark (Bear Beer Extra Strong)
3.5,Male,Euro Strong Lager,1307459047.0,22604,7.7,Harboe BjÃ¸rnebryg Extra Stark (Bear Beer Extra Strong)
2.0,Male,Euro Pale Lager,1307459047.0,38540,2.8,Harboe KrÃ¤ftÃ¶l
3.5,Male,Euro Pale Lager,1307459047.0,36609,2.8,"Harboe PÃ¥skebryg 2,8%"
3.0,Male,Euro Pale Lager,1307459047.0,36484,2.8,"Harbroe Classic Beer 2,8%"
1.5,Male,Euro Pale Lager,1307459047.0,36720,3.5,"Harboe Pilsner 3,5%"
3.5,Male,Euro Pale Lager,946217047.0,22615,4.6,Harboe Classic 110
2.0,Male,Schwarzbier,1307459047.0,42953,5.0,SkÃ¦lskÃ¸r Original Black
1.5,Male,Munich Dunkel Lager,946217047.0,37175,4.4,Harboe Dunkel
2.0,Male,Munich Dunkel Lager,1307459047.0,37175,4.4,Harboe Dunkel
2.5,Male,Euro Pale Lager,1307459047.0,32179,5.7,Christian Firtal GuldÃ¸l
1.5,Male,Euro Strong Lager,1307459047.0,22609,10.0,Harboe Ãrgangssbryg
2.5,Male,Euro Pale Lager,1307459047.0,42573,2.8,"Harboe BjÃ¸rnebryg 2,8%"
2.0,Male,Euro Pale Lager,1307459047.0,20986,5.3,Christian Firtal
1.5,Male,Euro Pale Lager,946217047.0,37237,4.6,Harboe Premium Traditional Pilsner 4.6%
3.0,Male,American Amber / Red Lager,946217047.0,32368,4.6,Harboe Red Beer
4.0,Male,Euro Pale Lager,1307459047.0,34739,4.6,Harboe Vib Pilsner Classic Landlord
2.0,Male,Euro Pale Lager,792252247.0,70647,4.6,Dansk Pilsner
3.5,Male,Euro Pale Lager,1307459047.0,34738,4.4,Harboe Vib Pilsner HÃ¥ndbajer
2.0,Male,Euro Pale Lager,1307459047.0,38233,2.8,Harboe Sommarbrygg
2.0,Male,Euro Pale Lager,1307459047.0,22616,5.7,Harboe GuldÃ¸l (Harboe Beer Gold)
1.5,Male,Euro Pale Lager,1307459047.0,22817,5.0,Harboe Pilsner
2.5,Male,Euro Pale Lager,919955047.0,53959,2.8,"Harboe Classic 2,8%"
3.0,Male,Euro Pale Lager,1307459047.0,53959,2.8,"Harboe Classic 2,8%"
4.0,Male,American Amber / Red Lager,1609855447.0,43516,5.0,Amarillo Lager
4.0,Male,Scottish Ale,1609855447.0,43945,5.7,Replic Ale
4.5,Male,Witbier,1005228247.0,10649,4.5,Wheat Beer
3.0,Male,Witbier,1609855447.0,10649,4.5,Wheat Beer
3.5,Male,MÃ¤rzen / Oktoberfest,1365865447.0,13289,5.5,Oktoberfest
3.5,Male,American Pale Ale (APA),1301756647.0,38414,5.0,Extra Pale Ale
5.0,Male,American Porter,885132247.0,39008,6.0,Monon Porter
1.5,Male,American IPA,991753447.0,6825,6.2,I.P.A.
3.5,Male,American IPA,1609855447.0,6825,6.2,I.P.A.
4.0,Male,American IPA,1571321047.0,6825,6.2,I.P.A.
4.0,Male,American IPA,1365865447.0,6825,6.2,I.P.A.
4.5,Male,English Strong Ale,885132247.0,63020,8.4,Bigger Boy's Beer
4.5,Male,American Double / Imperial IPA,885132247.0,55445,9.0,Hopcicle Double IPA
4.5,Male,American Double / Imperial IPA,879084247.0,55445,9.0,Hopcicle Double IPA
4.0,Male,Extra Special / Strong Bitter (ESB),1609855447.0,6824,5.6,E.S.B.
4.0,Male,Extra Special / Strong Bitter (ESB),1301756647.0,6824,5.6,E.S.B.
4.5,Male,Extra Special / Strong Bitter (ESB),1365865447.0,6824,5.6,E.S.B.
5.0,Male,English Bitter,1023462247.0,16491,5.3,T.J.'s Best Bitter
4.5,Male,English Bitter,1365865447.0,16491,5.3,T.J.'s Best Bitter
4.0,Male,American Pale Ale (APA),1609855447.0,15474,5.0,Broad Ripple Lawnmower Pale Ale
4.0,Male,Euro Dark Lager,1609855447.0,43944,5.9,Black Heart Lager
4.5,Male,Scotch Ale / Wee Heavy,879084247.0,8284,7.7,Wee Alec Heavy
3.5,Male,Scotch Ale / Wee Heavy,1365865447.0,8284,7.7,Wee Alec Heavy
4.5,Male,English Pale Ale,879084247.0,61478,5.0,Lawn Mower Pale Ale
5.0,Male,American Pale Ale (APA),885132247.0,15660,5.5,Wobbly Bob APA
4.5,Male,American Pale Ale (APA),991753447.0,15660,5.5,Wobbly Bob APA
5.0,Male,American Pale Ale (APA),1365865447.0,15660,5.5,Wobbly Bob APA
4.0,Male,Witbier,933347047.0,19558,4.8,Wild Wacky Wit
4.0,Male,Witbier,1044885847.0,19558,4.8,Wild Wacky Wit
4.0,Male,Witbier,1042207447.0,19558,4.8,Wild Wacky Wit
3.5,Male,American Amber / Red Ale,898787047.0,20758,4.2,Ogeechee Amber Ale
4.0,Male,English Brown Ale,1634047447.0,8514,5.4,Bay Street Brown Ale
4.0,Male,English Brown Ale,1474034647.0,8514,5.4,Bay Street Brown Ale
4.5,Male,American Porter,854633048.0,2780,6.0,The Captain's Porter
4.0,Male,American Porter,1560438247.0,2780,6.0,The Captain's Porter
4.0,Male,American Porter,1042207447.0,2780,6.0,The Captain's Porter
